Topic,Count,Name,Representation,Representative_Docs
-1,159883,-1_field_model_theory_system,"['field', 'model', 'theory', 'system', 'result', 'space', 'quantum', 'star', 'function', 'equation']","['spontaneous dynamical symmetry break high dimensional space time boundary term thesis study physics standard model focus quantum field theory high dimensional space time boundary term boundary term cause nontrivial consequence vacuum structure higher dimensional theory particular note independent solution weak planck hierarchy problem low scale supersymmetry dynamical electroweak symmetry breaking viewpoint low scale supersymmetry study term supersymmetry break effect sparticle spectra boundary investigate nonperturbative effect cause bulk nonsupersymmetric gauge dynamic fermion bilinear condensation boundary analyze dynamical symmetry break brane analysis conclude field localization high dimensional space time involve nontrivial vacuum structure theory resultant low energy dimensional effective theory phenomenologically interesting structure framework purely dimensional theory construct nontrivial effect localization extra dimension', 'real time dynamic parton hadron conversion propose new universal approach hadronization problem incorporate perturbative qcd effective field theory respective domain validity model transition analogy finite temperature qcd phase transition technique quantum kinetic theory formulate real time description momentum position space approach apply evolution fragment jet system evolve initial jet parton multiplication cluster formation final yield hadron investigate time scale transition energy dependence cluster size mass distribution compare result particle production bose einstein correlation experimental datum interesting possibility extract space time evolution system bose enhancement measurement suggest', 'fractal dimension scale law interstellar medium galaxy distribution new field theory approach develop field theoretical approach cold interstellar medium ism large structure universe non relativistic gravitate gas thermal equilibrium variable number atom fragment exactly equivalent field theory scalar field exponential self interaction analyze field theory perturbatively non perturbatively renormalization scale behaviour critical continuous range physical parameter temperature derive framework scale relation mass region size r delta v velocity dispersion density density correlation find power law behaviour large distance fractal dimension d turn relate critical exponent d mean field theory yield d ising mean field value compatible present ism observational d develop field theoretical approach galaxy distribution consider gas self gravitate mass frw background quasi thermal librium exhibit scale behaviour rg method galaxy correlation compute assume homogeneity find r theory allow compute high density correlator find connected n point density scale n free parameter theory']"
0,7878,0_brane_string_theory_gauge,"['brane', 'string', 'theory', 'gauge', 'duality', 'supergravity', 'action', 'supersymmetric', 'dual', 'tachyon']","['interact brane dual brane dyonic brane unifying lagrangian approach d dimension paper present general covariant lagrangian framework dynamic system closed n brane dual d d dimension interact dynamical gauge potential framework prove sufficiently general include coupling brane bosonic sector dynamical supergravity theory provide manifestly lorentz invariant s duality symmetric lagrangian involve gauge potential dual d gauge potential symmetric way correspond action depend generalize dirac string requirement string independence action lead dirac schwinger quantization condition charge brane dual brane produce additional constraint possible interaction turn system interact dyonic brane admit quantum mechanically inequivalent formulation involve inequivalent quantization condition asymmetric formulation involve single vector potential give special case dyonic brane dimension know result easily recover relevant application method write effective action implement inflow anomaly cancellation mechanism interact heterotic string brane consistent realization mechanism require fact dynamical p form potential systematic introduction dirac string', 'd brane dual gauge theory type string theory consider type theory obtain close nsr string diagonal gso projection exclude space time fermion study d brane theory low energy dynamic n coincident d brane govern gauge theory couple adjoint scalar field tempting look type string dual bosonic gauge theory background r r charge p brane classical solution result picture analogous recently propose polyakov hep problem need resolve closed string tachyon mode couple d brane appear cause instability study tachyon term type effective action argue background r r flux provide positive shift tachyon sufficiently large flux tachyonic instability cure remove basic obstacle construct type dual non supersymmetric gauge theory find tachyon acquire expectation value presence r r flux effect crucial break conformal invariance dual description dimensional non supersymmetric gauge theory', 'type iia superstring chiral symmetry gauge theory duality study dimensional gauge theory world volume theory brane ns brane find construction number know field theory duality involve group couple matter field f representation term brane type iia string theory dual gauge group follow simply reverse ordering ns brane brane conserve magnetic charge world volume brane interpret field theory phenomenon deformation superpotential w term position brane look d brane guidance find new duality involve arbitrary number gauge group propose mechanism enhanced chiral symmetry brane construction conjecture associate tensionless threebrane dimension']"
1,4858,1_galaxy_redshift_halo_survey,"['galaxy', 'redshift', 'halo', 'survey', 'cluster', 'spiral', 'formation', 'luminosity', 'dark', 'disk']","['cosmological result galaxy redshift survey galaxy redshift survey produce dimensional map distribution galaxy cover sky reach redshift map large scale structure local universe probe statistically representative volume provide direct evidence large scale structure universe grow gravitational instability measurement correlation function power spectrum galaxy distribution provide precise measurement mean mass density universe relative contribution cold dark matter baryon neutrino survey produce measurement galaxy bias parameter variation galaxy luminosity type joint analysis cosmic microwave background power spectra give independent new estimate hubble constant vacuum energy density constrain equation state vacuum', 'b band luminosity function red blue galaxy explore redshift evolution luminosity function red blue galaxy possible join deep band composite galaxy sample include spectroscopic sample hdfs sample deep sample derive deep nir image hubble deep field north south respectively sample spectroscopic redshift remain fraction calibrate photometric redshift allow select measure galaxy rest frame blue magnitude derive redshift evolution b band luminosity function galaxy separate rest frame u color specific unit mass star formation rate class separation derive passive evolutionary track observe bimodal distribution distribution appear bimodal locus red early galaxy clearly identify high redshift luminosity density evolution need describe cosmological behaviour red early blue late population density evolution great early population decrease order magnitude respect value luminosity density early late type galaxy appear bifurcation star form galaxy slightly increase constant luminosity density early galaxy decrease luminosity density factor comparison late version hierarchical cdm model show broad agreement observed number luminosity density evolution population', 'analytic model galaxy dark matter cluster investigate analytic model compute nonlinear power spectrum dark matter galaxy cross correlation model base press schechter halo cluster realistic dark matter profile total power spectrum sum contribution correlation betwen halo correlation halo model dark matter power spectra match result n body simulation provide concentration parameter decrease halo mass galaxy power spectrum differ dark matter power spectrum pair weight number galaxy increase rapidly halo mass predict theoretical model observe cluster case result power spectrum power law slope close observed model predict later onset nonlinear clustering compare dark matter need reconcile cdm model datum generic prediction model bias scale dependent nonmonotonic red elliptical galaxy bias power spectrum scale dependent large scale prediction galaxy dark matter correlation observe galaxy galaxy lense interpret simply average halo profile typical galaxy different halo mass dominate different scale large halo host galaxy discuss prospect cross correlation combination galaxy cluster determine dark matter power spectrum abridge']"
2,3444,2_neutrino_oscillation_solar_mix,"['neutrino', 'oscillation', 'solar', 'mix', 'atmospheric', 'mixing', 'neutrinos', 'lepton', 'mass', 'experiment']","['neutrino mass matrix mixing oscillation investigate phenomenological consequence lepton mass matrix originate family permutation symmetry suitable breaking adopt recently propose new mass matrix charge lepton mass matrix majorana neutrino mass matrix consider find result lepton flavor mixing matrix consistent current datum type neutrino oscillation experiment chlorine datum lsnd measurement neutrino degenerate mass numerically neutrino account hot dark neutrino mass matrix constrain small angle msw solution solar neutrino problem atmospheric neutrino datum super kamiokande group limitation electron type neutrino mass non observation neutrino double beta decay', 'majorana neutrinos neutrino mass spectrum cp violation neutrinoless double beta decay ii mix neutrino assume neutrino mixing massive majorana neutrinos study implication neutrino oscillation solution solar atmospheric neutrino problem result lsnd experiment constraint neutrino oscillation obtain reactor accelerator experiment prediction effective majorana mass neutrinoless double beta neutrino mass spectra compatible exist neutrino mass oscillation datum consider general case cp nonconservation investigate analyze detail question measurement ev generation decay experiment cuore exo genius combine datum solar atmospheric reactor accelerator neutrino oscillation experiment future neutrino mass experiment katrin allow condition determine absolute value neutrino mass neutrino mass spectrum ii establish existence cp violation lepton sector certain neutrino mass spectra exist direct relation light neutrino mass neutrino mass measure measurement ev ev unique possibility determine absolute value neutrino mass obtain information cp violation lepton sector', 'neutrino physic present lecture follow topic consider general property neutrinos neutrino mass phenomenology dirac majorana mass neutrino mass simple extension standard model include seesaw mechanism neutrino oscillation vacuum neutrino oscillation matter msw effect flavour scheme implication cp t cpt symmetrie neutrino oscillation double beta decay solar neutrino oscillation solar neutrino problem atmospheric neutrinos short overview result accelerator reactor neutrino experiment future project finally discuss available experimental datum neutrino mass lepton mixing summarize phenomenologically allow form neutrino mass matrix']"
3,3277,3_decay_cp_meson_branching,"['decay', 'cp', 'meson', 'branching', 'penguin', 'semileptonic', 'violation', 'asymmetry', 'heavy', 'quark']","['charm decay babar result study charm meson baryon babar present search rare decay present new upper limit process establish second measurement branching fraction isospin violate hadronic decay relative radiative decay gamma decay meson study ratio branching fraction measure fourth cabibbo suppress decay examine branching fraction measure relative cabibbo allow mode fifth study decay addition measure ratio branch fraction produce cc continuum uncorrected momentum spectrum measure provide clear confirmation production b decay', 'application qcd factorization hadronic b decay review recent advance theory strong interaction effect final state interaction hadronic weak decay heavy meson heavy quark limit amplitude nonleptonic body b decay calculate principle express term semileptonic form factor light cone distribution amplitude summarize main feature novel qcd factorization discuss phenomenological application b l decay l light meson rare charmless decay b pi k b pi pi', 'improved measurement cp violate asymmetry amplitude present update result time dependent cp violate asymmetry neutral b decay cp eigenstate measurement use data sample million b anti b decay collect babar detector pep ii asymmetric energy b factory slac sample study event neutral b meson fully reconstruct final state contain charmonium meson flavor neutral b meson determine decay product amplitude cp violating asymmetry standard model proportional derive decay time distribution event measure stat syst stat syst consistent standard model expectation direct cp violation result preliminary']"
4,2620,4_collision_rhic_ion_heavy,"['collision', 'rhic', 'ion', 'heavy', 'gev', 'sps', 'transverse', 'rapidity', 'hadron', 'production']","['centrality dependence thermal parameter heavy ion collision sps rhic analyze centrality dependence thermal parameter describe hadron multiplicity hadron spectra dilepton spectra heavy ion collision sps rhic energy', 'particle production heavy ion collision status thermal model description particle production heavy ion collision present discuss formulation statistical model different implementation conservation law indicate applicability heavy ion elementary particle collision analyze experimental datum hadronic abundance obtain ultrarelativistic heavy ion collision broad energy range start rhic bnl gev sps cern gev ags bnl gev sis gsi gev test equilibration fireball create collision argue statistical approach provide satisfactory description experimental datum cover wide energy range deviation model prediction datum indicate discuss unified description particle chemical freeze excitation function different particle specie sps rhic energy relation freeze parameter qcd phase boundary analyze furthermore application extend statistical model quantitative understanding open hidden charm hadron yield consider', 'resonance production collision gev rhic short live resonance provide efficient tool probe property hot dense medium produce relativistic heavy ion collision report measurement gev collision reconstruct hadronic decay channel star detector rhic mass study function minimum bias central collision spectra minimum bias interaction collision different centrality present yield ratio centrality collision find significantly low ratio minimum bias collision indicate importance hadronic interaction chemical kinetic freeze out significant non zero elliptic flow observe collision compare nuclear modification factor intermediate similar different establish baryon meson effect mass effect particle production intermediate']"
5,1819,5_grb_burst_afterglow_gamma,"['grb', 'burst', 'afterglow', 'gamma', 'ray', 'fireball', 'batse', 'optical', 'shock', 'emission']","['x ray afterglow spectroscopy gamma ray burst review constraint set x ray measurement afterglow issue grb particular regard fireball model environment progenitor dark grb', 'gamma ray burst puzzle resolve second gamma ray burst grb bright object universe shin rest universe combine clearly reflect extreme condition fascinating worth explore recent discovery grb afterglow demonstrate right track resolution long stand puzzle observation confirm relativistic fireball model specifically internal external shock model prompt optical emission see grb demonstrate grb involve ultra relativistic motion break light curve grb grb peculiar light curve grb grb disclose grb beam examine recent development discuss implication model source argue current understanding imply grb signal birth stellar mass black hole', 'highlight mission mission highly productive observe grb far currently localize grb year localize grb date localization lead detection x ray optical radio afterglow burst afterglow redshift determination observe burst soft gamma ray repeater x ray burst confirm connection grb type ic supernovae singular achievement certainly scientific highlight mission far provide evidence isotropic equivalent energy luminosity grb correlate redshift correlation imply grb progenitor evolve strongly redshift result profound implication nature grb progenitor use grb probe cosmology early universe place severe constraint x ray optical afterglow short grb possible explore previously unknown behavior optical afterglow early time open era high resolution spectroscopy grb optical afterglow solve mystery optically dark grb reveal nature x ray flash xrfs']"
6,1790,6_cuprate_superconductor_superconducte_pseudogap,"['cuprate', 'superconductor', 'superconducte', 'pseudogap', 'superconductivity', 'tc', 'dope', 'doping', 'temperature', 'gap']","['hypothesis dimensional stripe arrangement implication superconductivity high tc cuprate hypothesis hole dope high tc cuprate superconductor organize dimensional array diagonal stripe discuss basis hypothesis new microscopic model superconductivity propose solve model describe kind hole state localize inside stripe antiferromagnetic domain stripe characteristic energy difference kind state identify pseudogap superconducte sc order parameter predict model component phase exhibit complex dependence center mass coordinate model prediction tunneling characteristic dependence critical temperature superfluid density good quantitative agreement number experiment model particular predict sc peak tunneling spectra asymmetric ratio sc gap critical temperature great propose high tc cuprate exist different superconducte state correspond doping concentration critical temperature finally checkerboard pattern local density state observe scan tunneling microscopy interpret come state localize center stripe element form superstructure', 'universal scale behavior pseudogap doping high tc cuprate temperature dope dependence spectral intensity base improved slave boson approach phy rev b t j hamiltonian report scale behavior pseudogap doping temperature doping dependence spectral function addition discuss cause hump quasi particle peak observed spectral function high tc cuprate demonstrate sharpening observed quasi particle peak tc attribute bose condensation holon pair computed ratio pseudogap superconducte temperature tc pseudogap temperature function hole dope concentration x find exist universal scaling ratio doping hyperbolic scale behavior near dope independence find', 'order parameter pairing phase coherence cuprate magnetic origin coherent gap mcs model high tc superconductivity phase diagram order parameter pairing phase coherence hole dope cuprate discuss examine carefully recent inelastic neutron scatter datum obtain hole dope cuprate heavy fermion compound superconductivity mediate spin fluctuation conclude coherent gap hole dope cuprate likely magnetic origin scale tc average kbtc discuss model superconductivity hole dope cuprate symmetry order parameter']"
7,1555,7_hall_fractional_edge_quantum,"['hall', 'fractional', 'edge', 'quantum', 'landau', 'composite', 'skyrmion', 'electron', 'filling', 'state']","['composite fermion edge current fractional quantum hall effect present theory composite fermion edge state transport property fractional integer quantum hall regime effective electro chemical potential composite fermion edge hall bar differ general electron expression difference give composite fermion edge state different type identify type analog previous theory integer fractional quantum hall effect type include usual integer edge state direction propagation edge state agree experiment present theory yield observe quantize hall conductance landau level filling fraction explain result experiment involve conduction smooth potential barrier adiabatic constriction experiment involve selective population detection fractional edge channel relationship present work hartree theory composite fermion edge structure discuss', 'order phase transition quantum hall ferromagnet single particle energy spectrum dimensional electron gas perpendicular magnetic field consist equally space spin split landau level degeneracy proportional magnetic field strength integer particular fractional ratio number electron degeneracy landau level fill factor n quantum hall effect occur characterise vanishingly small longitudinal resistance quantise hall voltage quantum hall regime offer unique possibility study cooperative phenomenon particle system control condition field benefit quantum hall study magnetism remain poorly understand conventional material isotropic anisotropic ferromagnetic ground state predict experimentally study quantum hall sample different geometry fill factor present evidence order phase transition n quantum hall state confine wide gallium arsenide quantum observed hysteretic behaviour anomalous temperature dependence longitudinal resistivity indicate occurrence transition distinct ground state ise quantum hall ferromagnet detailed body calculation allow identification microscopic origin anisotropy field', 'conductance fluctuation fractional quantum hall plateau transition obtain mean field scale flow longitudinal hall conductivity fractional quantum hall regime composite fermion picture assume composite fermion follow khmelnitskii pruisken scaling flow integer quantum hall effect unstable fix point govern transition different fractional quantum hall state identify distribution critical longitudinal hall conductivity unstable fix point obtain implication result experiment mesoscopic quantum hall system discuss']"
8,1535,8_ray_kev_agn_source,"['ray', 'kev', 'agn', 'source', 'seyfert', 'chandra', 'line', 'emission', 'xmm', 'asca']","['bepposax broad band spectrum variability seyfert ngc bepposax observe seyfert galaxy ngc day june june average flux observation kev x erg long exposure provide high quality spectrum exhibit typical feature seyfert high energy cut intrinsic continuum kev detect time object observation source show modest flux variation kev spectral variability completely explain change intrinsic slope ngc seyfert exhibit soft emission component bepposax spectrum soft excess reproduce black body component temperature kt kev warm absorber require fit soft x ray spectrum reprocess feature compton reflection hump fe emission line detect observation addition narrow iron line observe chandra broad component kev ev require fit line observed compton hump fe line reproduce ionized disc reflection model ross fabian case soft excess observe kev account disc emissivity additional soft x ray component require fit spectrum', 'chandra deep x ray observation galactic plane chandra acis instrument carry deep x ray observation typical galactic plane region l deg discrete x ray source know previously detect strong diffuse emission new point x ray source sigma confidence partially overlap field total x erg kev x erg kev study spectral distribution point source find soft source detect kev numerous hard source detect kev small number source detect soft hard band surface density hard source consistent high galactic region hard source consider active galactic nucleus see milky way hand bright hard x ray source extremely flat spectra iron line edge feature consider galactic presumably quiescent dwarf novae soft source thermal spectra small interstellar hydrogen column density exhibit x ray flare soft source probably x ray active nearby late type star', 'redshift evolution kev x ray luminosity function high angular resolution sensitivity chandra x ray observatory yield large number faint x ray source measured redshift soft kev hard kev energy band source obvious optical signature active galactic nucleus agn use chandra observation hubble deep field north region hawaii survey field rosat ultra deep survey soft sample asca large sky survey hard sample construct rest frame kev luminosity function versus redshift x ray source regardless optical agn characteristic kev light density arise source luminosity erg s erg s range number density source luminosity range rise constant decrease redshift broad line agn dominant population high luminosity source know rapid positive evolution increase redshift argue dominant supermassive black hole formation occur recent time object low accretion mass flow rate early time x ray luminous object high accretion mass flow rate']"
